token,surprisal
I,6.64793586730957
'm,3.0044448375701904
 so,5.386682987213135
 glad,3.213705062866211
!,9.84669017791748
 I,1.4533357620239258
 really,5.0755720138549805
 like,4.228190898895264
 the,2.8558433055877686
 dress,8.54726791381836
 too,7.67778205871582
.,2.447075843811035
 And,5.9328227043151855
 thank,7.4621195793151855
 you,0.14033319056034088
 for,1.7921116352081299
 noticing,10.848108291625977
 my,3.554562568664551
 eyes,7.779324531555176
",",3.8778419494628906
 haha,7.795125961303711
.,2.456293821334839
 So,6.262075424194336
 cool,5.243143081665039
 that,6.83878755569458
 you,1.3782602548599243
 got,6.535146236419678
 it,5.2915754318237305
 cheaper,15.50059986114502
 than,1.967343807220459
 me,2.6732325553894043
",",3.3879480361938477
 it,6.573209762573242
 was,3.000197649002075
 only,6.075933456420898
 $,1.2806828022003174
95,8.618794441223145
 at,6.129281997680664
 Max,12.152578353881836
ine,7.321831703186035
's,0.5431931614875793
 and,4.407508373260498
 I,2.383535861968994
 didn,4.723267555236816
't,0.0007614821079187095
 know,3.9650795459747314
 they,6.404397010803223
 had,2.334031581878662
 a,3.6800336837768555
 sale,8.165534973144531
 going,6.5592427253723145
 on,0.19546294212341309
 either,8.423807144165039
.,1.2900429964065552
 Guess,9.400506973266602
 we,4.665782928466797
 both,6.917623043060303
 got,3.6658711433410645
 lucky,5.673847675323486
"!""",3.7450523376464844
"
",0.7591485381126404
"
",0.009666003286838531
"""",2.8398449420928955
Yes,7.016372203826904
!,3.877795934677124
 I,2.255965232849121
 guess,5.745656967163086
 so,2.2259063720703125
.,2.0004634857177734
 Well,5.884125232696533
",",1.5394179821014404
 I,1.993464708328247
 have,5.6815409660339355
 to,1.5489332675933838
 go,4.667390823364258
 now,4.171509265899658
.,2.1010332107543945
 Bye,7.291796684265137
".""",4.122284412384033
"
",0.3670746684074402
"
",0.0004206448793411255
"""",1.5544391870498657
By,8.656950950622559
e,0.0034887553192675114
",",2.377854108810425
 take,12.002876281738281
 care,0.9231004118919373
"!""",3.1174747943878174
"
",0.9552955627441406
"
",0.00043328935862518847
This,7.701123237609863
 is,2.833904266357422
 an,5.360880374908447
 example,4.576807975769043
 of,0.11919935792684555
 a,2.6384787559509277
 conversation,7.891089916229248
 where,3.528256416320801
 the,2.0823075771331787
 two,3.701852321624756
 people,5.575927257537842
 involved,5.786112308502197
 are,2.149651288986206
 discussing,5.026819229125977
 a,3.5674989223480225
 dress,8.911856651306152
 and,3.9298171997070312
 its,7.043069839477539
 price,3.200924873352051
.,0.7629837989807129
 The,2.870863914489746
 first,5.229265213012695
 person,0.8437729477882385
 bought,14.012746810913086
 it,1.928450345993042
 for,2.427736282348633
 $,1.1876347064971924
145,8.292864799499512
 at,3.787327766418457
 Helen,14.365631103515625
's,0.2621166408061981
 Bout,6.701130390167236
ique,0.003306196304038167
 and,2.5970652103424072
 the,2.2371044158935547
 second,0.5473082065582275
 person,0.8364744186401367
 bought,1.4449653625488281
 it,0.18505871295928955
 for,0.21161969006061554
 $,0.07681997865438461
95,6.154229164123535
 at,0.4588767886161804
 Max,2.3276095390319824
ine,0.0019668438471853733
's,0.006017478182911873
",",4.744663715362549
 but,2.7095115184783936
 they,3.328521251678467
 didn,3.9627418518066406
't,0.0014166284818202257
 know,2.6156258583068848
 the,3.4260332584381104
 other,5.724243640899658
 person,2.6518936157226562
 had,2.8783137798309326
 purchased,4.471287250518799
 it,0.5633326768875122
 at,3.199434995651245
 a,4.488716125488281
 lower,4.520223617553711
 price,0.23099775612354279
.,0.7279758453369141
 The,2.924867868423462
 conversation,5.957172393798828
 ends,3.721191883087158
 with,0.9647879600524902
 both,5.519961833953857
 people,2.6811492443084717
 saying,2.4136595726013184
" """,1.7548065185546875
bye,7.698561191558838
"""",1.7402002811431885
 to,2.9123737812042236
 each,0.320097416639328
 other,0.011040687561035156
.,1.4779757261276245
"
",0.7509448528289795
"
",0.00032190143247134984
This,4.729947566986084
 is,1.7155280113220215
 an,2.080357313156128
 example,0.09270165860652924
 of,0.022515764459967613
 a,0.8531826138496399
 casual,9.555968284606934
 conversation,0.3244630694389343
 that,5.238527297973633
 can,5.134936332702637
 happen,4.833832740783691
 between,2.970242738723755
 friends,7.241696834564209
 or,3.112037181854248
 acquaintances,3.435494899749756
.,0.8597172498703003
 There,6.055417537689209
 is,1.7717301845550537
 no,2.462693691253662
 specific,6.069488525390625
 purpose,6.478652477264404
 or,2.853231430053711
 agenda,9.070068359375
 for,2.2697818279266357
 the,1.3773516416549683
 conversation,0.6670148968696594
",",1.8748602867126465
 and,3.219923973083496
 the,2.253514289855957
 two,3.5880072116851807
 people,1.294763207435608
 are,2.374298572540283
 simply,3.8063571453094482
 sharing,5.513895034790039
 information,3.3371694087982178
 about,2.068638563156128
 their,3.0084261894226074
 experiences,5.0723676681518555
 with,3.8936681747436523
 the,3.322709560394287
 dress,2.946556568145752
.,0.7123432755470276
