token_id,token,next_token_id,next_token,log_prob,surprisal,source_file
1,"""",9425, Yeah,-10.248738,10.248738,llama-2-7b@q8_0_222.txt
9425, Yeah,837," ,",-6.204194,6.204194,llama-2-7b@q8_0_222.txt
837," ,",340, it,-2.862975,2.862975,llama-2-7b@q8_0_222.txt
340, it,481, will,-5.0338626,5.0338626,llama-2-7b@q8_0_222.txt
481, will,13,.,-3.532348,3.532348,llama-2-7b@q8_0_222.txt
13,.,366," """,-3.608656,3.608656,llama-2-7b@q8_0_222.txt
366," """,198,"
",-2.5124753,2.5124753,llama-2-7b@q8_0_222.txt
198,"
",198,"
",-0.030826682,0.030826682,llama-2-7b@q8_0_222.txt
198,"
",1,"""",-1.6191612,1.6191612,llama-2-7b@q8_0_222.txt
1,"""",9425, Yeah,-4.7997284,4.7997284,llama-2-7b@q8_0_222.txt
9425, Yeah,837," ,",-0.86714697,0.86714697,llama-2-7b@q8_0_222.txt
837," ,",475, but,-2.8899822,2.8899822,llama-2-7b@q8_0_222.txt
475, but,262, the,-3.8678012,3.8678012,llama-2-7b@q8_0_222.txt
262, the,749, most,-6.0182977,6.0182977,llama-2-7b@q8_0_222.txt
749, most,1593, important,-0.92769784,0.92769784,llama-2-7b@q8_0_222.txt
1593, important,318, is,-4.3645315,4.3645315,llama-2-7b@q8_0_222.txt
318, is,326, that,-1.5816993,1.5816993,llama-2-7b@q8_0_222.txt
326, that,345, you,-1.2616962,1.2616962,llama-2-7b@q8_0_222.txt
345, you,815, should,-4.408213,4.408213,llama-2-7b@q8_0_222.txt
815, should,423, have,-2.885206,2.885206,llama-2-7b@q8_0_222.txt
423, have,257, a,-1.4732033,1.4732033,llama-2-7b@q8_0_222.txt
257, a,5448, healthy,-5.751726,5.751726,llama-2-7b@q8_0_222.txt
5448, healthy,12263, lifestyle,-4.277624,4.277624,llama-2-7b@q8_0_222.txt
12263, lifestyle,290, and,-1.9571149,1.9571149,llama-2-7b@q8_0_222.txt
290, and,257, a,-2.6056209,2.6056209,llama-2-7b@q8_0_222.txt
257, a,5448, healthy,-1.5755109,1.5755109,llama-2-7b@q8_0_222.txt
5448, healthy,5496, diet,-2.0281541,2.0281541,llama-2-7b@q8_0_222.txt
5496, diet,764, .,-3.3222442,3.3222442,llama-2-7b@q8_0_222.txt
764, .,1002, If,-3.6765952,3.6765952,llama-2-7b@q8_0_222.txt
1002, If,345, you,-0.30508977,0.30508977,llama-2-7b@q8_0_222.txt
345, you,4483, eat,-3.743848,3.743848,llama-2-7b@q8_0_222.txt
4483, eat,517, more,-3.5314362,3.5314362,llama-2-7b@q8_0_222.txt
517, more,39425, veggies,-4.1224246,4.1224246,llama-2-7b@q8_0_222.txt
39425, veggies,621, than,-2.652964,2.652964,llama-2-7b@q8_0_222.txt
621, than,6174, meat,-3.880063,3.880063,llama-2-7b@q8_0_222.txt
6174, meat,11,",",-0.8639373,0.8639373,llama-2-7b@q8_0_222.txt
11,",",788, then,-2.7634606,2.7634606,llama-2-7b@q8_0_222.txt
788, then,534, your,-2.194225,2.194225,llama-2-7b@q8_0_222.txt
534, your,1767, body,-0.69721925,0.69721925,llama-2-7b@q8_0_222.txt
1767, body,460, can,-3.4242096,3.4242096,llama-2-7b@q8_0_222.txt
460, can,307, be,-3.616683,3.616683,llama-2-7b@q8_0_222.txt
307, be,4030, kept,-7.709504,7.709504,llama-2-7b@q8_0_222.txt
4030, kept,287, in,-2.1899776,2.1899776,llama-2-7b@q8_0_222.txt
287, in,922, good,-2.5956564,2.5956564,llama-2-7b@q8_0_222.txt
922, good,5485, shape,-0.4503605,0.4503605,llama-2-7b@q8_0_222.txt
5485, shape,13,.,-1.0295361,1.0295361,llama-2-7b@q8_0_222.txt
13,.,366," """,-1.516963,1.516963,llama-2-7b@q8_0_222.txt
366," """,198,"
",-0.30074468,0.30074468,llama-2-7b@q8_0_222.txt
198,"
",198,"
",-0.00033897377,0.00033897377,llama-2-7b@q8_0_222.txt
198,"
",1,"""",-0.24714153,0.24714153,llama-2-7b@q8_0_222.txt
1,"""",314, I,-3.035769,3.035769,llama-2-7b@q8_0_222.txt
314, I,760, know,-2.8786433,2.8786433,llama-2-7b@q8_0_222.txt
760, know,703, how,-3.903477,3.903477,llama-2-7b@q8_0_222.txt
703, how,284, to,-2.5065384,2.5065384,llama-2-7b@q8_0_222.txt
284, to,466, do,-3.1203558,3.1203558,llama-2-7b@q8_0_222.txt
466, do,340, it,-2.117843,2.117843,llama-2-7b@q8_0_222.txt
340, it,826, right,-3.6208265,3.6208265,llama-2-7b@q8_0_222.txt
826, right,764, .,-2.5981808,2.5981808,llama-2-7b@q8_0_222.txt
764, .,6930, Thanks,-6.2793026,6.2793026,llama-2-7b@q8_0_222.txt
6930, Thanks,5145, !,-4.7948465,4.7948465,llama-2-7b@q8_0_222.txt
5145, !,366," """,-0.3485843,0.3485843,llama-2-7b@q8_0_222.txt
